date,event_count
2023-10-24,21
2023-10-29,34
2023-11-01,4
2023-11-03,3
2023-11-05,18
2023-11-06,3
2023-11-09,22
2023-11-12,2
2023-11-13,40
2023-11-14,10
2023-11-15,8
2023-11-16,19
2023-11-17,75
2023-11-20,8
2023-11-21,15
2023-11-22,87
2023-11-23,236
2023-11-24,24
2023-11-25,135
2023-11-26,14
2023-11-27,68
2023-11-28,6
2023-11-29,45
2023-11-30,70
2023-12-01,89
2023-12-02,6
2023-12-03,47
2023-12-04,141
2023-12-05,55
2023-12-06,192
2023-12-07,56
2023-12-08,49
2023-12-10,9
2023-12-11,68
2023-12-12,38
2023-12-13,99
2023-12-14,83
2023-12-15,57
2023-12-16,56
2023-12-17,76
2023-12-18,123
2023-12-19,85
2023-12-20,218
2023-12-21,18
2023-12-22,108
2023-12-24,42
2023-12-25,60
2023-12-26,114
2023-12-27,175
2023-12-28,50
2023-12-29,85
2023-12-30,1
2023-12-31,3
2024-01-01,22
2024-01-02,252
2024-01-03,215
2024-01-04,225
2024-01-05,342
2024-01-06,3
2024-01-07,164
2024-01-08,116
2024-01-09,101
2024-01-10,275
2024-01-11,100
2024-01-12,146
2024-01-13,53
2024-01-14,38
2024-01-15,91
2024-01-16,190
2024-01-17,205
2024-01-18,221
2024-01-19,160
2024-01-20,6
2024-01-21,78
2024-01-22,180
2024-01-23,153
2024-01-24,152
2024-01-25,332
2024-01-26,158
2024-01-27,6
2024-01-28,7
2024-01-29,231
2024-01-30,183
2024-01-31,449
2024-02-01,123
2024-02-02,52
2024-02-03,81
2024-02-04,176
2024-02-05,69
2024-02-06,199
2024-02-07,91
2024-02-08,198
2024-02-09,193
2024-02-10,134
2024-02-11,66
2024-02-12,42
2024-02-13,67
2024-02-14,116
2024-02-15,136
2024-02-16,384
2024-02-17,87
2024-02-18,16
2024-02-19,361
2024-02-20,629
2024-02-21,186
2024-02-22,637
2024-02-23,377
2024-02-24,97
2024-02-25,95
2024-02-26,445
2024-02-27,351
2024-02-28,340
2024-02-29,145
2024-03-01,282
2024-03-03,65
2024-03-04,121
2024-03-05,221
2024-03-06,176
2024-03-07,136
2024-03-08,340
2024-03-09,11
2024-03-10,1
2024-03-11,145
2024-03-12,219
2024-03-13,125
2024-03-14,280
2024-03-15,202
2024-03-16,14
2024-03-17,7
2024-03-18,175
2024-03-19,329
2024-03-20,104
2024-03-21,234
2024-03-22,445
2024-03-23,13
2024-03-24,52
2024-03-25,246
2024-03-26,259
2024-03-27,123
2024-03-28,148
2024-03-29,18
2024-03-30,60
2024-03-31,9
2024-04-01,41
2024-04-02,99
2024-04-03,139
2024-04-04,250
2024-04-05,371
2024-04-06,111
2024-04-07,28
2024-04-08,527
2024-04-09,360
2024-04-10,302
2024-04-11,565
2024-04-12,465
2024-04-13,77
2024-04-14,66
2024-04-15,516
2024-04-16,213
2024-04-17,374
2024-04-18,614
2024-04-19,164
2024-04-20,54
2024-04-21,125
2024-04-22,432
2024-04-23,192
2024-04-24,346
2024-04-25,220
2024-04-26,547
2024-04-27,143
2024-04-28,21
2024-04-29,376
2024-04-30,240
2024-05-01,67
2024-05-02,314
2024-05-03,300
2024-05-05,4
2024-05-06,168
2024-05-07,281
2024-05-08,288
2024-05-09,499
2024-05-10,252
2024-05-12,42
2024-05-13,64
2024-05-14,161
2024-05-15,283
2024-05-16,118
2024-05-17,115
2024-05-18,18
2024-05-19,8
2024-05-20,152
2024-05-21,425
2024-05-22,245
2024-05-23,148
2024-05-24,122
2024-05-25,33
2024-05-26,22
2024-05-27,561
2024-05-28,423
2024-05-29,379
2024-05-30,614
2024-05-31,437
2024-06-01,17
2024-06-02,35
2024-06-03,90
2024-06-04,325
2024-06-05,325
2024-06-06,407
2024-06-07,487
2024-06-08,89
2024-06-09,894
2024-06-10,529
2024-06-11,1123
2024-06-12,1163
2024-06-13,931
2024-06-14,762
2024-06-15,1114
2024-06-17,73
2024-06-18,513
2024-06-19,458
2024-06-21,274
2024-06-22,36
2024-06-24,542
2024-06-25,1519
2024-06-26,381
2024-06-27,194
2024-06-28,232
2024-06-29,14
2024-06-30,6
2024-07-01,376
2024-07-02,858
2024-07-03,1194
2024-07-04,618
2024-07-05,480
2024-07-06,66
2024-07-07,56
2024-07-08,114
2024-07-09,24
2024-07-10,471
2024-07-11,340
2024-07-12,399
2024-07-14,18
2024-07-15,512
2024-07-16,279
2024-07-17,269
2024-07-18,434
2024-07-19,151
2024-07-22,245
2024-07-23,135
2024-07-24,683
2024-07-25,240
2024-07-26,151
2024-07-27,1
2024-07-28,64
2024-07-29,283
2024-07-30,207
2024-07-31,297
2024-08-01,203
2024-08-02,329
2024-08-03,12
2024-08-05,492
2024-08-06,296
2024-08-07,79
2024-08-08,267
2024-08-09,37
2024-08-12,197
2024-08-13,483
2024-08-14,564
2024-08-15,305
2024-08-16,231
2024-08-17,30
2024-08-18,42
2024-08-19,277
2024-08-20,217
2024-08-21,261
2024-08-22,297
2024-08-23,117
2024-08-24,52
2024-08-25,90
2024-08-26,644
2024-08-27,410
2024-08-28,290
2024-08-29,194
2024-08-30,93
2024-08-31,12
2024-09-01,196
2024-09-02,140
2024-09-03,281
2024-09-04,211
2024-09-05,220
2024-09-06,186
2024-09-07,265
2024-09-08,517
2024-09-09,669
2024-09-10,663
2024-09-11,335
2024-09-12,328
2024-09-13,252
2024-09-14,59
2024-09-15,127
2024-09-16,292
2024-09-17,422
2024-09-18,270
2024-09-19,236
2024-09-20,184
2024-09-21,56
2024-09-22,31
2024-09-23,265
2024-09-24,263
2024-09-25,213
2024-09-26,247
2024-09-27,151
2024-09-28,51
2024-09-29,13
2024-09-30,104
2024-10-01,148
2024-10-02,210
2024-10-03,175
2024-10-04,199
2024-10-05,44
2024-10-06,96
2024-10-07,372
2024-10-08,300
2024-10-09,460
2024-10-10,131
2024-10-11,77
2024-10-13,191
2024-10-14,231
2024-10-15,128
2024-10-16,271
2024-10-17,149
2024-10-18,177
2024-10-20,6
2024-10-21,146
2024-10-22,420
2024-10-23,385
2024-10-24,183
2024-10-25,138
2024-10-26,25
2024-10-27,26
2024-10-28,69
2024-10-29,179
2024-10-30,152
2024-10-31,170
2024-11-01,125
2024-11-03,88
2024-11-04,221
2024-11-05,447
2024-11-06,128
2024-11-07,245
2024-11-08,130
2024-11-09,50
2024-11-10,3
2024-11-11,302
2024-11-12,303
2024-11-13,148
2024-11-14,295
2024-11-15,373
2024-11-16,50
2024-11-17,22
2024-11-18,80
2024-11-19,286
2024-11-20,166
2024-11-21,334
2024-11-22,206
2024-11-23,20
2024-11-24,41
2024-11-25,206
2024-11-26,182
2024-11-27,288
2024-11-28,274
2024-11-29,253
2024-11-30,51
2024-12-01,96
2024-12-02,260
2024-12-03,181
2024-12-04,222
2024-12-05,234
2024-12-06,151
2024-12-07,10
2024-12-08,47
2024-12-09,516
2024-12-10,388
2024-12-11,92
2024-12-12,527
2024-12-13,39
2024-12-14,56
2024-12-16,516
2024-12-17,424
2024-12-18,597
2024-12-19,373
2024-12-20,138
2024-12-21,86
2024-12-23,326
2024-12-24,70
2024-12-26,150
2024-12-27,526
2024-12-28,148
2024-12-29,18
2024-12-30,540
2024-12-31,330
2025-01-02,216
2025-01-03,117
2025-01-04,8
2025-01-05,64
2025-01-06,125
2025-01-07,290
2025-01-08,223
2025-01-09,350
2025-01-10,233
2025-01-11,151
2025-01-12,22
2025-01-13,288
2025-01-14,415
2025-01-15,238
2025-01-16,793
2025-01-17,262
2025-01-18,103
2025-01-19,26
2025-01-20,268
2025-01-21,278
2025-01-22,584
2025-01-23,147
2025-01-24,210
2025-01-25,4
2025-01-26,8
2025-01-27,275
2025-01-28,378
2025-01-29,519
2025-01-30,649
2025-01-31,337
2025-02-01,81
2025-02-02,32
2025-02-03,326
2025-02-04,374
2025-02-05,511
2025-02-06,525
2025-02-07,349
2025-02-08,25
2025-02-09,54
2025-02-10,1164
2025-02-11,1388
2025-02-12,629
2025-02-13,953
2025-02-14,867
2025-02-15,85
2025-02-16,80
2025-02-17,776
2025-02-18,510
2025-02-19,163
2025-02-20,1182
2025-02-21,644
2025-02-22,8
2025-02-23,372
2025-02-24,979
2025-02-25,2224
2025-02-26,2781
2025-02-27,2244
2025-02-28,1599
2025-03-01,569
2025-03-02,614
2025-03-03,109
2025-03-04,117
2025-03-05,1172
2025-03-06,1512
2025-03-07,1284
2025-03-08,564
2025-03-09,214
2025-03-10,350
2025-03-11,712
2025-03-12,513
2025-03-13,1044
2025-03-14,479
2025-03-15,198
2025-03-16,138
2025-03-17,1438
2025-03-18,1832
2025-03-19,1020
2025-03-20,1277
2025-03-21,474
2025-03-22,513
2025-03-23,113
2025-03-24,311
2025-03-25,555
2025-03-26,2264
2025-03-27,1411
2025-03-28,695
2025-03-29,106
2025-03-31,358
2025-04-01,654
2025-04-02,849
2025-04-03,2186
2025-04-04,873
2025-04-05,392
2025-04-06,460
2025-04-07,4534
2025-04-08,3680
2025-04-09,3428
2025-04-10,2137
2025-04-11,2403
2025-04-12,454
2025-04-13,143
2025-04-14,454
2025-04-15,426
2025-04-16,677
2025-04-17,816
2025-04-18,47
2025-04-20,40
2025-04-21,597
2025-04-22,821
2025-04-23,1037
2025-04-24,906
2025-04-25,843
2025-04-26,76
2025-04-27,249
2025-04-28,458
2025-04-29,834
2025-04-30,410
2025-05-01,81
2025-05-02,658
2025-05-03,368
2025-05-04,132
2025-05-05,1383
2025-05-06,2620
2025-05-07,1407
2025-05-08,503
2025-05-09,1020
2025-05-10,107
2025-05-11,83
2025-05-12,2453
2025-05-13,527
2025-05-14,918
2025-05-15,918
2025-05-16,2054
2025-05-17,78
2025-05-18,9
